"INFORMATION TYPE","DATE","PERIOD","USEP ($/MWh)","LCP ($/MWh)","DEMAND (MW)","SOLAR(MW)","TCL(MW)"
"USEP","10-Jun-2023","12","241.92","0.00","5809.517","-","0.000"
"USEP","10-Jun-2023","13","257.41","0.00","5888.088","-","0.000"
"USEP","10-Jun-2023","14","243.04","0.00","5937.679","-","0.000"
"USEP","10-Jun-2023","15","311.26","0.00","6009.570","-","0.000"
"USEP","10-Jun-2023","16","383.18","0.00","6131.414","-","0.000"
"USEP","10-Jun-2023","17","395.41","0.00","6294.266","-","0.000"
"USEP","10-Jun-2023","18","393.92","0.00","6390.834","-","0.000"
"USEP","10-Jun-2023","19","313.57","0.00","6442.964","-","0.000"
"USEP","10-Jun-2023","20","312.13","0.00","6466.865","-","0.000"
"USEP","10-Jun-2023","21","324.78","0.00","6547.612","-","0.000"
"USEP","10-Jun-2023","22","363.81","0.00","6626.208","-","0.000"
"USEP","10-Jun-2023","23","342.65","0.00","6574.997","-","0.000"
"USEP","10-Jun-2023","24","261.83","0.00","6481.173","-","0.000"
"USEP","10-Jun-2023","25","188.64","0.00","6433.009","-","0.000"
"USEP","10-Jun-2023","26","188.66","0.00","6429.028","-","0.000"
"USEP","10-Jun-2023","27","222.52","0.00","6423.253","-","0.000"
"USEP","10-Jun-2023","28","177.13","0.00","6383.562","-","0.000"
"USEP","10-Jun-2023","29","175.48","0.00","6415.619","-","0.000"
"USEP","10-Jun-2023","30","174.02","0.00","6435.598","-","0.000"
"USEP","10-Jun-2023","31","169.10","0.00","6401.683","-","0.000"
"USEP","10-Jun-2023","32","143.15","0.00","6344.314","-","0.000"
"USEP","10-Jun-2023","33","134.81","0.00","6326.850","-","0.000"
"USEP","10-Jun-2023","34","136.49","0.00","6317.948","-","0.000"
"USEP","10-Jun-2023","35","142.89","0.00","6340.681","-","0.000"
"USEP","10-Jun-2023","36","143.16","0.00","6387.320","-","0.000"
"USEP","10-Jun-2023","37","175.40","0.00","6524.994","-","0.000"
"USEP","10-Jun-2023","38","313.65","0.00","6654.810","-","0.000"
"USEP","10-Jun-2023","39","292.65","0.00","6723.650","-","0.000"
"USEP","10-Jun-2023","40","272.10","0.00","6718.958","-","0.000"
"USEP","10-Jun-2023","41","302.68","0.00","6726.726","-","0.000"
"USEP","10-Jun-2023","42","373.65","0.00","6724.485","-","0.000"
"USEP","10-Jun-2023","43","498.31","0.00","6706.434","-","0.000"
"USEP","10-Jun-2023","44","477.42","0.00","6634.856","-","0.000"
"USEP","10-Jun-2023","45","487.51","0.00","6533.637","-","0.000"
"USEP","10-Jun-2023","46","477.91","0.00","6448.182","-","0.000"
"USEP","10-Jun-2023","47","395.54","0.00","6346.973","-","0.000"
"USEP","10-Jun-2023","48","456.39","0.00","6237.251","-","0.000"
"USEP","11-Jun-2023","1","300.97","0.00","6114.094","-","0.000"
"USEP","11-Jun-2023","2","246.88","0.00","6023.128","-","0.000"
"USEP","11-Jun-2023","3","154.00","0.00","5955.243","-","0.000"
"USEP","11-Jun-2023","4","155.38","0.00","5902.109","-","0.000"
"USEP","11-Jun-2023","5","137.64","0.00","5844.367","-","0.000"
"USEP","11-Jun-2023","6","121.94","0.00","5783.828","-","0.000"
"USEP","11-Jun-2023","7","122.05","0.00","5720.525","-","0.000"
"USEP","11-Jun-2023","8","122.04","0.00","5681.311","-","0.000"
"USEP","11-Jun-2023","9","117.85","0.00","5686.346","-","0.000"
"USEP","11-Jun-2023","10","155.21","0.00","5701.107","-","0.000"
"USEP","11-Jun-2023","11","154.02","0.00","5678.205","-","0.000"
"USEP","11-Jun-2023","12","155.34","0.00","5729.451","-","0.000"
"USEP","11-Jun-2023","13","155.35","0.00","5792.560","-","0.000"
"USEP","11-Jun-2023","14","155.35","0.00","5816.123","-","0.000"
"USEP","11-Jun-2023","15","142.87","0.00","5810.119","-","0.000"
"USEP","11-Jun-2023","16","154.04","0.00","5837.976","-","0.000"
"USEP","11-Jun-2023","17","154.05","0.00","5902.268","-","0.000"
"USEP","11-Jun-2023","18","154.07","0.00","5951.754","-","0.000"
"USEP","11-Jun-2023","19","157.05","0.00","6061.760","-","0.000"
"USEP","11-Jun-2023","20","173.23","0.00","6135.937","-","0.000"
"USEP","11-Jun-2023","21","173.40","0.00","6180.399","-","0.000"
"USEP","11-Jun-2023","22","173.40","0.00","6191.576","-","0.000"
"USEP","11-Jun-2023","23","173.10","0.00","6186.308","-","0.000"
"USEP","11-Jun-2023","24","173.13","0.00","6166.468","-","0.000"
"USEP","11-Jun-2023","25","164.10","0.00","6103.359","-","0.000"
"USEP","11-Jun-2023","26","126.91","0.00","6031.935","-","0.000"
"USEP","11-Jun-2023","27","117.90","0.00","6032.646","-","0.000"
"USEP","11-Jun-2023","28","121.37","0.00","6063.002","-","0.000"
"USEP","11-Jun-2023","29","122.12","0.00","6062.928","-","0.000"
"USEP","11-Jun-2023","30","122.47","0.00","6071.968","-","0.000"
"USEP","11-Jun-2023","31","142.82","0.00","6101.982","-","0.000"
"USEP","11-Jun-2023","32","117.56","0.00","6029.624","-","0.000"
"USEP","11-Jun-2023","33","117.85","0.00","6055.905","-","0.000"
"USEP","11-Jun-2023","34","164.03","0.00","6222.728","-","0.000"
"USEP","11-Jun-2023","35","192.66","0.00","6225.944","-","0.000"
"USEP","11-Jun-2023","36","155.45","0.00","6217.659","-","0.000"
"USEP","11-Jun-2023","37","165.46","0.00","6277.532","-","0.000"
"USEP","11-Jun-2023","38","188.11","0.00","6403.080","-","0.000"
"USEP","11-Jun-2023","39","220.12","0.00","6546.802","-","0.000"
"USEP","11-Jun-2023","40","301.20","0.00","6616.283","-","0.000"
"USEP","11-Jun-2023","41","254.45","0.00","6635.571","-","0.000"
"USEP","11-Jun-2023","42","229.07","0.00","6627.207","-","0.000"
"USEP","11-Jun-2023","43","203.53","0.00","6601.472","-","0.000"
"USEP","11-Jun-2023","44","203.86","0.00","6542.279","-","0.000"
"USEP","11-Jun-2023","45","310.08","0.00","6504.567","-","0.000"
"USEP","11-Jun-2023","46","508.58","0.00","6494.672","-","0.000"
"USEP","11-Jun-2023","47","508.59","0.00","6415.261","-","0.000"
"USEP","11-Jun-2023","48","456.62","0.00","6326.447","-","0.000"
"USEP","12-Jun-2023","1","231.13","0.00","6198.415","-","0.000"
"USEP","12-Jun-2023","2","175.37","0.00","6045.523","-","0.000"
"USEP","12-Jun-2023","3","175.15","0.00","5911.378","-","0.000"
"USEP","12-Jun-2023","4","174.15","0.00","5866.951","-","0.000"
"USEP","12-Jun-2023","5","205.53","0.00","5820.784","-","0.000"
"USEP","12-Jun-2023","6","123.04","0.00","5763.033","-","0.000"
"USEP","12-Jun-2023","7","122.66","0.00","5724.903","-","0.000"
"USEP","12-Jun-2023","8","123.45","0.00","5717.175","-","0.000"
"USEP","12-Jun-2023","9","122.57","0.00","5695.506","-","0.000"
"USEP","12-Jun-2023","10","123.67","0.00","5706.256","-","0.000"
"USEP","12-Jun-2023","11","124.18","0.00","5747.313","-","0.000"
"USEP","12-Jun-2023","12","174.11","0.00","5869.495","-","0.000"
"USEP","12-Jun-2023","13","174.17","0.00","6053.052","-","0.000"
"USEP","12-Jun-2023","14","205.79","0.00","6233.642","-","0.000"
"USEP","12-Jun-2023","15","205.77","0.00","6429.575","-","0.000"
"USEP","12-Jun-2023","16","241.70","0.00","6637.132","-","0.000"
"USEP","12-Jun-2023","17","292.46","0.00","6823.233","-","0.000"
"USEP","12-Jun-2023","18","306.43","0.00","6956.131","-","0.000"
"USEP","12-Jun-2023","19","251.92","0.00","7025.761","-","0.000"
"USEP","12-Jun-2023","20","292.61","0.00","7099.068","-","0.000"
"USEP","12-Jun-2023","21","302.73","0.00","7130.837","-","0.000"
"USEP","12-Jun-2023","22","343.68","0.00","7172.038","-","0.000"
"USEP","12-Jun-2023","23","353.59","0.00","7168.991","-","0.000"
"USEP","12-Jun-2023","24","302.72","0.00","7090.515","-","0.000"
"USEP","12-Jun-2023","25","282.02","0.00","7028.818","-","0.000"
"USEP","12-Jun-2023","26","270.45","0.00","7004.817","-","0.000"
"USEP","12-Jun-2023","27","292.61","0.00","7048.519","-","0.000"
"USEP","12-Jun-2023","28","302.70","0.00","7087.449","-","0.000"
"USEP","12-Jun-2023","29","251.88","0.00","7026.104","-","0.000"
"USEP","12-Jun-2023","30","251.88","0.00","7015.717","-","0.000"
"USEP","12-Jun-2023","31","241.57","0.00","7011.432","-","0.000"
"USEP","12-Jun-2023","32","231.27","0.00","6985.613","-","0.000"
"USEP","12-Jun-2023","33","195.76","0.00","6964.009","-","0.000"
"USEP","12-Jun-2023","34","204.61","0.00","7013.530","-","0.000"
"USEP","12-Jun-2023","35","204.52","0.00","6933.727","-","0.000"
"USEP","12-Jun-2023","36","195.40","0.00","6921.987","-","0.000"
"USEP","12-Jun-2023","37","204.61","0.00","6882.988","-","0.000"
"USEP","12-Jun-2023","38","195.76","0.00","6884.762","-","0.000"
"USEP","12-Jun-2023","39","204.66","0.00","6878.510","-","0.000"
"USEP","12-Jun-2023","40","204.66","0.00","6875.975","-","0.000"
"USEP","12-Jun-2023","41","204.62","0.00","6849.848","-","0.000"
"USEP","12-Jun-2023","42","177.42","0.00","6812.652","-","0.000"
"USEP","12-Jun-2023","43","204.60","0.00","6746.288","-","0.000"
"USEP","12-Jun-2023","44","254.61","0.00","6627.798","-","0.000"
"USEP","12-Jun-2023","45","229.43","0.00","6512.166","-","0.000"
"USEP","12-Jun-2023","46","177.24","0.00","6387.315","-","0.000"
"USEP","12-Jun-2023","47","179.34","0.00","6262.140","-","0.000"
"USEP","12-Jun-2023","48","134.77","0.00","6124.506","-","0.000"
"USEP","13-Jun-2023","1","163.04","0.00","5994.178","-","0.000"
"USEP","13-Jun-2023","2","175.26","0.00","5888.714","-","0.000"
"USEP","13-Jun-2023","3","141.43","0.00","5794.265","-","0.000"
"USEP","13-Jun-2023","4","116.47","0.00","5746.920","-","0.000"
"USEP","13-Jun-2023","5","116.37","0.00","5705.669","-","0.000"
"USEP","13-Jun-2023","6","166.85","0.00","5661.039","-","0.000"
"USEP","13-Jun-2023","7","116.30","0.00","5625.185","-","0.000"
"USEP","13-Jun-2023","8","116.21","0.00","5601.026","-","0.000"
"USEP","13-Jun-2023","9","98.71","0.00","5564.879","-","0.000"
"USEP","13-Jun-2023","10","96.58","0.00","5556.942","-","0.000"
"USEP","13-Jun-2023","11","111.25","0.00","5638.306","-","0.000"
"USEP","13-Jun-2023","12","116.34","0.00","5758.625","-","0.000"
"USEP","13-Jun-2023","13","116.22","0.00","5927.088","-","0.000"
"USEP","13-Jun-2023","14","138.55","0.00","6112.971","-","0.000"
"USEP","13-Jun-2023","15","122.16","0.00","6316.040","-","0.000"
"USEP","13-Jun-2023","16","147.07","0.00","6553.248","-","0.000"
"USEP","13-Jun-2023","17","166.83","0.00","6744.539","-","0.000"
"USEP","13-Jun-2023","18","174.02","0.00","6872.163","-","0.000"
"USEP","13-Jun-2023","19","174.11","0.00","6968.203","-","0.000"
"USEP","13-Jun-2023","20","174.37","0.00","7020.677","-","0.000"
"USEP","13-Jun-2023","21","174.21","0.00","7019.792","-","0.000"
"USEP","13-Jun-2023","22","174.11","0.00","6970.683","-","0.000"
"USEP","13-Jun-2023","23","174.07","0.00","6930.968","-","0.000"
"USEP","13-Jun-2023","24","167.02","0.00","6854.192","-","0.000"
"USEP","13-Jun-2023","25","147.55","0.00","6791.997","-","0.000"
"USEP","13-Jun-2023","26","166.81","0.00","6819.799","-","0.000"
"USEP","13-Jun-2023","27","166.84","0.00","6840.161","-","0.000"
"USEP","13-Jun-2023","28","167.06","0.00","6861.532","-","0.000"
"USEP","13-Jun-2023","29","174.01","0.00","6910.984","-","0.000"
"USEP","13-Jun-2023","30","174.09","0.00","6962.950","-","0.000"
"USEP","13-Jun-2023","31","174.41","0.00","7032.600","-","0.000"
"USEP","13-Jun-2023","32","174.40","0.00","7060.740","-","0.000"
"USEP","13-Jun-2023","33","174.42","0.00","7088.850","-","0.000"
"USEP","13-Jun-2023","34","208.58","0.00","7142.303","-","0.000"
"USEP","13-Jun-2023","35","185.18","0.00","7112.940","-","0.000"
"USEP","13-Jun-2023","36","174.35","0.00","7036.819","-","0.000"
"USEP","13-Jun-2023","37","210.73","0.00","7035.616","-","0.000"
"USEP","13-Jun-2023","38","184.50","0.00","7036.695","-","0.000"
"USEP","13-Jun-2023","39","175.46","0.00","7025.567","-","0.000"
"USEP","13-Jun-2023","40","174.42","0.00","7013.734","-","0.000"
"USEP","13-Jun-2023","41","175.46","0.00","7014.390","-","0.000"
"USEP","13-Jun-2023","42","174.43","0.00","6987.949","-","0.000"
"USEP","13-Jun-2023","43","176.09","0.00","6940.267","-","0.000"
"USEP","13-Jun-2023","44","174.21","0.00","6821.738","-","0.000"
"USEP","13-Jun-2023","45","190.83","0.00","6709.510","-","0.000"
"USEP","13-Jun-2023","46","190.17","0.00","6600.597","-","0.000"
"USEP","13-Jun-2023","47","302.46","0.00","6463.684","-","0.000"
"USEP","13-Jun-2023","48","177.08","0.00","6268.760","-","0.000"
"USEP","14-Jun-2023","1","175.19","0.00","6091.192","-","0.000"
"USEP","14-Jun-2023","2","126.79","0.00","5983.751","-","0.000"
"USEP","14-Jun-2023","3","123.56","0.00","5912.292","-","0.000"
"USEP","14-Jun-2023","4","230.81","0.00","5854.267","-","0.000"
"USEP","14-Jun-2023","5","230.79","0.00","5837.081","-","0.000"
"USEP","14-Jun-2023","6","126.40","0.00","5781.954","-","0.000"
"USEP","14-Jun-2023","7","110.56","0.00","5730.440","-","0.000"
"USEP","14-Jun-2023","8","140.77","0.00","5698.453","-","0.000"
"USEP","14-Jun-2023","9","140.76","0.00","5694.959","-","0.000"
"USEP","14-Jun-2023","10","115.88","0.00","5717.408","-","0.000"
"USEP","14-Jun-2023","11","110.40","0.00","5765.081","-","0.000"
"USEP","14-Jun-2023","12","251.36","0.00","5897.616","-","0.000"
"USEP","14-Jun-2023","13","290.86","0.00","6047.133","-","0.000"
"USEP","14-Jun-2023","14","281.51","0.00","6239.075","-","0.000"
"USEP","14-Jun-2023","15","292.24","0.00","6436.563","-","0.000"
"USEP","14-Jun-2023","16","342.97","0.00","6668.537","-","0.000"
"USEP","14-Jun-2023","17","230.98","0.00","6842.418","-","0.000"
"USEP","14-Jun-2023","18","241.51","0.00","6910.308","-","0.000"
"USEP","14-Jun-2023","19","176.63","0.00","6954.342","-","0.000"
"USEP","14-Jun-2023","20","176.34","0.00","6962.632","-","0.000"
"USEP","14-Jun-2023","21","166.63","0.00","6971.618","-","0.000"
"USEP","14-Jun-2023","22","176.54","0.00","7009.589","-","0.000"
"USEP","14-Jun-2023","23","176.62","0.00","7022.183","-","0.000"
"USEP","14-Jun-2023","24","166.60","0.00","6944.984","-","0.000"
"USEP","14-Jun-2023","25","151.51","0.00","6814.745","-","0.000"
"USEP","14-Jun-2023","26","162.95","0.00","6839.267","-","0.000"
"USEP","14-Jun-2023","27","170.46","0.00","6979.406","-","0.000"
"USEP","14-Jun-2023","28","175.58","0.00","7007.839","-","0.000"
"USEP","14-Jun-2023","29","166.62","0.00","6983.809","-","0.000"
"USEP","14-Jun-2023","30","166.62","0.00","6977.299","-","0.000"
"USEP","14-Jun-2023","31","176.33","0.00","6995.305","-","0.000"
"USEP","14-Jun-2023","32","176.66","0.00","7036.188","-","0.000"
"USEP","14-Jun-2023","33","176.65","0.00","7028.991","-","0.000"
"USEP","14-Jun-2023","34","176.76","0.00","7110.266","-","0.000"
"USEP","14-Jun-2023","35","180.47","0.00","7131.304","-","0.000"
"USEP","14-Jun-2023","36","176.66","0.00","7037.073","-","0.000"
"USEP","14-Jun-2023","37","175.58","0.00","6951.276","-","0.000"
"USEP","14-Jun-2023","38","175.55","0.00","6936.659","-","0.000"
"USEP","14-Jun-2023","39","176.63","0.00","6960.912","-","0.000"
"USEP","14-Jun-2023","40","176.39","0.00","6946.231","-","0.000"
"USEP","14-Jun-2023","41","176.40","0.00","6939.631","-","0.000"
"USEP","14-Jun-2023","42","176.83","0.00","6914.493","-","0.000"
"USEP","14-Jun-2023","43","177.60","0.00","6852.542","-","0.000"
"USEP","14-Jun-2023","44","190.99","0.00","6728.495","-","0.000"
"USEP","14-Jun-2023","45","174.03","0.00","6594.474","-","0.000"
"USEP","14-Jun-2023","46","166.47","0.00","6481.720","-","0.000"
"USEP","14-Jun-2023","47","260.24","0.00","6338.404","-","6.000"
"USEP","14-Jun-2023","48","116.09","0.00","6193.530","-","0.000"
"USEP","15-Jun-2023","1","140.95","0.00","6044.961","-","0.000"
"USEP","15-Jun-2023","2","122.78","0.00","5935.641","-","0.000"
"USEP","15-Jun-2023","3","113.66","0.00","5855.932","-","0.000"
"USEP","15-Jun-2023","4","113.65","0.00","5791.064","-","0.000"
"USEP","15-Jun-2023","5","115.69","0.00","5761.547","-","0.000"
"USEP","15-Jun-2023","6","115.67","0.00","5710.828","-","0.000"
"USEP","15-Jun-2023","7","113.72","0.00","5666.585","-","0.000"
"USEP","15-Jun-2023","8","110.42","0.00","5616.254","-","0.000"
"USEP","15-Jun-2023","9","110.37","0.00","5612.422","-","0.000"
"USEP","15-Jun-2023","10","105.15","0.00","5628.117","-","0.000"
"USEP","15-Jun-2023","11","107.77","0.00","5680.437","-","0.000"
"USEP","15-Jun-2023","12","115.54","0.00","5805.199","-","0.000"
"USEP","15-Jun-2023","13","107.80","0.00","5975.908","-","0.000"
"USEP","15-Jun-2023","14","115.93","0.00","6153.178","-","0.000"
"USEP","15-Jun-2023","15","130.21","0.00","6348.340","-","0.000"
"USEP","15-Jun-2023","16","181.08","0.00","6561.906","-","0.000"
"USEP","15-Jun-2023","17","145.14","0.00","6772.932","-","0.000"
"USEP","15-Jun-2023","18","186.27","0.00","6882.222","-","0.000"
"USEP","15-Jun-2023","19","166.63","0.00","6931.987","-","0.000"
"USEP","15-Jun-2023","20","166.61","0.00","6954.118","-","0.000"
"USEP","15-Jun-2023","21","179.74","0.00","6983.625","-","0.000"
"USEP","15-Jun-2023","22","166.62","0.00","6970.997","-","0.000"
"USEP","15-Jun-2023","23","166.62","0.00","6942.513","-","0.000"
"USEP","15-Jun-2023","24","166.42","0.00","6894.300","-","0.000"
"USEP","15-Jun-2023","25","166.45","0.00","6897.495","-","0.000"
"USEP","15-Jun-2023","26","163.88","0.00","6940.809","-","0.000"
"USEP","15-Jun-2023","27","163.37","0.00","6913.568","-","0.000"
"USEP","15-Jun-2023","28","158.11","0.00","6872.302","-","0.000"
"USEP","15-Jun-2023","29","144.98","0.00","6826.454","-","0.000"
"USEP","15-Jun-2023","30","145.34","0.00","6840.315","-","0.000"
"USEP","15-Jun-2023","31","166.56","0.00","6948.125","-","0.000"
"USEP","15-Jun-2023","32","186.80","0.00","6995.444","-","0.000"
"USEP","15-Jun-2023","33","241.62","0.00","7051.506","-","0.000"
"USEP","15-Jun-2023","34","332.59","0.00","7107.975","-","0.000"
"USEP","15-Jun-2023","35","343.76","0.00","7163.634","-","0.000"
"USEP","15-Jun-2023","36","329.24","0.00","7073.001","-","0.000"
"USEP","15-Jun-2023","37","190.56","0.00","6961.653","-","0.000"
"USEP","15-Jun-2023","38","186.88","0.00","6900.124","-","0.000"
"USEP","15-Jun-2023","39","190.58","0.00","6944.636","-","0.000"
"USEP","15-Jun-2023","40","266.50","0.00","6969.983","-","0.000"
"USEP","15-Jun-2023","41","264.75","0.00","6962.205","-","0.000"
"USEP","15-Jun-2023","42","302.50","0.00","6947.096","-","0.000"
"USEP","15-Jun-2023","43","322.51","0.00","6873.878","-","0.000"
"USEP","15-Jun-2023","44","166.73","0.00","6751.283","-","0.000"
"USEP","15-Jun-2023","45","166.50","0.00","6606.919","-","0.000"
"USEP","15-Jun-2023","46","281.73","0.00","6503.697","-","0.000"
"USEP","15-Jun-2023","47","332.37","0.00","6387.727","-","0.000"
"USEP","15-Jun-2023","48","282.67","0.00","6276.991","-","0.000"
