DateTime,USEP (Milligrams of gold/MWh),DEMAND (MW),Total Population (Number),Holiday,Day
2019-09-03 20:30:00,431.5834813021253,6771.918,5703569.0,1,2
2019-09-03 21:00:00,488.2168146354587,6743.972,5703569.0,1,2
2019-09-03 21:30:00,475.60115684691954,6676.927,5703569.0,1,2
2019-09-03 22:00:00,428.84094700026895,6564.356,5703569.0,1,2
2019-09-03 22:30:00,403.6553403282217,6407.513,5703569.0,1,2
2019-09-03 23:00:00,403.6096314231907,6277.324,5703569.0,1,2
2019-09-03 23:30:00,402.78687113263385,6129.645,5703569.0,1,2
2019-09-04 00:00:00,394.982075598601,5967.757,5703569.0,1,3
2019-09-04 00:30:00,380.8473432875976,5803.389,5703569.0,1,3
2019-09-04 01:00:00,392.4248049502288,5691.937,5703569.0,1,3
2019-09-04 01:30:00,446.3599677158999,5627.869,5703569.0,1,3
2019-09-04 02:00:00,428.0406107075599,5553.985,5703569.0,1,3
2019-09-04 02:30:00,426.08778584880287,5507.361,5703569.0,1,3
2019-09-04 03:00:00,409.8142453591607,5448.318,5703569.0,1,3
2019-09-04 03:30:00,409.1168079096045,5413.15,5703569.0,1,3
2019-09-04 04:00:00,394.8425881086899,5379.2,5703569.0,1,3
2019-09-04 04:30:00,389.6350551520043,5369.896,5703569.0,1,3
2019-09-04 05:00:00,396.0979755178908,5391.476,5703569.0,1,3
2019-09-04 05:30:00,395.0285714285714,5466.399,5703569.0,1,3
2019-09-04 06:00:00,415.8122074253431,5610.573,5703569.0,1,3
2019-09-04 06:30:00,426.3667608286252,5799.463,5703569.0,1,3
2019-09-04 07:00:00,409.2097995695453,5962.966,5703569.0,1,3
2019-09-04 07:30:00,380.8008474576272,6144.779,5703569.0,1,3
2019-09-04 08:00:00,410.4651869787463,6395.262,5703569.0,1,3
2019-09-04 08:30:00,402.7468792036589,6629.523,5703569.0,1,3
2019-09-04 09:00:00,408.6518496099005,6783.777,5703569.0,1,3
2019-09-04 09:30:00,410.0467245090126,6851.085,5703569.0,1,3
2019-09-04 10:00:00,410.6046744686576,6875.269,5703569.0,1,3
2019-09-04 10:30:00,410.7906577885392,6906.034,5703569.0,1,3
2019-09-04 11:00:00,426.4132566585956,6905.248,5703569.0,1,3
2019-09-04 11:30:00,410.5116828087168,6890.835,5703569.0,1,3
2019-09-04 12:00:00,410.0002286790423,6835.932,5703569.0,1,3
2019-09-04 12:30:00,409.9537328490719,6809.969,5703569.0,1,3
2019-09-04 13:00:00,404.7926957223568,6798.1,5703569.0,1,3
2019-09-04 13:30:00,410.5581786386872,6863.973,5703569.0,1,3
2019-09-04 14:00:00,410.6976661285984,6892.977,5703569.0,1,3
2019-09-04 14:30:00,414.091861716438,6908.061,5703569.0,1,3
2019-09-04 15:00:00,414.1848533763789,6934.373,5703569.0,1,3
2019-09-04 15:30:00,415.5797282754911,6946.102,5703569.0,1,3
2019-09-04 16:00:00,414.1383575464084,6942.409,5703569.0,1,3
2019-09-04 16:30:00,413.99887005649725,6928.264,5703569.0,1,3
2019-09-04 17:00:00,414.0453658864676,6930.521,5703569.0,1,3
2019-09-04 17:30:00,410.7906577885392,6871.338,5703569.0,1,3
2019-09-04 18:00:00,404.7461998923864,6749.996,5703569.0,1,3
2019-09-04 18:30:00,400.4220877051386,6673.368,5703569.0,1,3
2019-09-04 19:00:00,403.4908124831854,6696.737,5703569.0,1,3
2019-09-04 19:30:00,409.5817662093086,6702.433,5703569.0,1,3
2019-09-04 20:00:00,399.8641377454937,6671.315,5703569.0,1,3
2019-09-04 20:30:00,399.9106335754641,6645.258,5703569.0,1,3
2019-09-04 21:00:00,393.1687382297552,6601.04,5703569.0,1,3
2019-09-04 21:30:00,410.0002286790423,6548.283,5703569.0,1,3
2019-09-04 22:00:00,406.60603309120256,6421.866,5703569.0,1,3
2019-09-04 22:30:00,392.7502757600215,6287.716,5703569.0,1,3
2019-09-04 23:00:00,390.8439467312349,6158.486,5703569.0,1,3
2019-09-04 23:30:00,388.37966774280335,6027.894,5703569.0,1,3
2019-09-05 00:00:00,366.4531073446328,5880.529,5703569.0,1,4
2019-09-05 00:30:00,364.7320150659133,5757.73,5703569.0,1,4
2019-09-05 01:00:00,343.1485875706215,5630.19,5703569.0,1,4
2019-09-05 01:30:00,361.4758945386063,5553.279,5703569.0,1,4
2019-09-05 02:00:00,341.0088512241055,5482.556,5703569.0,1,4
2019-09-05 02:30:00,340.17156308851224,5435.714,5703569.0,1,4
2019-09-05 03:00:00,335.2873822975518,5374.941,5703569.0,1,4
2019-09-05 03:30:00,333.70583804143126,5351.895,5703569.0,1,4
2019-09-05 04:00:00,333.2406779661017,5315.077,5703569.0,1,4
2019-09-05 04:30:00,333.3337099811676,5309.466,5703569.0,1,4
2019-09-05 05:00:00,333.28719397363466,5329.445,5703569.0,1,4
2019-09-05 05:30:00,335.0082862523541,5409.736,5703569.0,1,4
2019-09-05 06:00:00,341.9856873822976,5552.981,5703569.0,1,4
2019-09-05 06:30:00,373.1979284369115,5742.422,5703569.0,1,4
2019-09-05 07:00:00,359.15009416195846,5900.036,5703569.0,1,4
2019-09-05 07:30:00,349.2421845574388,6096.605,5703569.0,1,4
2019-09-05 08:00:00,367.01129943502826,6360.81,5703569.0,1,4
2019-09-05 08:30:00,400.0376647834275,6627.739,5703569.0,1,4
2019-09-05 09:00:00,407.15461393596985,6785.536,5703569.0,1,4
2019-09-05 09:30:00,410.6433145009416,6880.617,5703569.0,1,4
2019-09-05 10:00:00,410.92241054613936,6939.855,5703569.0,1,4
2019-09-05 10:30:00,414.2715630885122,6997.894,5703569.0,1,4
2019-09-05 11:00:00,415.667043314501,7026.75,5703569.0,1,4
2019-09-05 11:30:00,414.2715630885122,6997.263,5703569.0,1,4
2019-09-05 12:00:00,410.7828625235405,6927.38,5703569.0,1,4
2019-09-05 12:30:00,409.8060263653484,6859.216,5703569.0,1,4
2019-09-05 13:00:00,409.8060263653484,6874.887,5703569.0,1,4
2019-09-05 13:30:00,411.0154425612053,6938.006,5703569.0,1,4
2019-09-05 14:00:00,410.9689265536723,6947.329,5703569.0,1,4
2019-09-05 14:30:00,410.8758945386064,6951.932,5703569.0,1,4
2019-09-05 15:00:00,410.7363465160076,6941.042,5703569.0,1,4
2019-09-05 15:30:00,410.9689265536723,6953.095,5703569.0,1,4
2019-09-05 16:00:00,415.667043314501,6976.434,5703569.0,1,4
2019-09-05 16:30:00,415.43446327683614,6972.791,5703569.0,1,4
2019-09-05 17:00:00,414.2715630885122,6948.284,5703569.0,1,4
2019-09-05 17:30:00,410.7828625235405,6880.811,5703569.0,1,4
2019-09-05 18:00:00,390.967043314501,6778.667,5703569.0,1,4
2019-09-05 18:30:00,387.1992467043314,6717.318,5703569.0,1,4
2019-09-05 19:00:00,393.013747645951,6751.447,5703569.0,1,4
2019-09-05 19:30:00,400.1306967984934,6755.169,5703569.0,1,4
2019-09-05 20:00:00,402.4564971751413,6745.329,5703569.0,1,4
2019-09-05 20:30:00,400.0376647834275,6699.908,5703569.0,1,4
2019-09-05 21:00:00,397.432768361582,6678.293,5703569.0,1,4
2019-09-05 21:30:00,395.75819209039554,6607.983,5703569.0,1,4
2019-09-05 22:00:00,381.5708097928437,6482.684,5703569.0,1,4
2019-09-05 22:30:00,387.3387947269303,6338.778,5703569.0,1,4
2019-09-05 23:00:00,387.2457627118644,6208.822,5703569.0,1,4
2019-09-05 23:30:00,381.5708097928437,6066.725,5703569.0,1,4
2019-09-06 00:00:00,366.7010492332526,5954.055,5703569.0,1,5
2019-09-06 00:30:00,377.33276836158194,5839.337,5703569.0,1,5
2019-09-06 01:00:00,427.4603914447135,5739.485,5703569.0,1,5
2019-09-06 01:30:00,378.9648305084746,5620.846,5703569.0,1,5
2019-09-06 02:00:00,363.4835552865214,5554.298,5703569.0,1,5
2019-09-06 02:30:00,342.8729418886199,5486.696,5703569.0,1,5
2019-09-06 03:00:00,339.1425141242938,5444.694,5703569.0,1,5
2019-09-06 03:30:00,330.7490516545602,5402.931,5703569.0,1,5
2019-09-06 04:00:00,325.9927562550444,5371.089,5703569.0,1,5
2019-09-06 04:30:00,325.9927562550444,5357.391,5703569.0,1,5
2019-09-06 05:00:00,325.9927562550444,5373.176,5703569.0,1,5
2019-09-06 05:30:00,335.45871670702184,5444.038,5703569.0,1,5
2019-09-06 06:00:00,340.2150121065375,5567.786,5703569.0,1,5
2019-09-06 06:30:00,378.2187449556094,5748.699,5703569.0,1,5
2019-09-06 07:00:00,382.6019975786925,5879.067,5703569.0,1,5
2019-09-06 07:30:00,401.0209846650525,6048.674,5703569.0,1,5
2019-09-06 08:00:00,425.54854721549646,6308.639,5703569.0,1,5
2019-09-06 08:30:00,432.9161420500404,6591.487,5703569.0,1,5
